emsl:500163	nmdc:omprc-11-gk8h3j98
emsl:500101	nmdc:omprc-11-xbyr6s65
emsl:500162	nmdc:omprc-11-tcapc615
emsl:500102	nmdc:omprc-11-z36c8h22
emsl:500165	nmdc:omprc-11-32txff54
emsl:500831	nmdc:omprc-11-3dqjy857
emsl:500836	nmdc:omprc-11-baxnb778
emsl:501128	nmdc:omprc-11-b694ca70
emsl:500088	nmdc:omprc-11-brdx3686
emsl:500099	nmdc:omprc-11-56rzhp28
emsl:500094	nmdc:omprc-11-ys5t7840
emsl:500829	nmdc:omprc-11-xdn8sm35
emsl:500837	nmdc:omprc-11-t6mrgn07
emsl:500098	nmdc:omprc-11-q178e963
emsl:500164	nmdc:omprc-11-6ky7yg66
emsl:500096	nmdc:omprc-11-bsdyzg98
emsl:500160	nmdc:omprc-11-zvemf433
emsl:501132	nmdc:omprc-11-7nfk8n58
emsl:500166	nmdc:omprc-11-2k4bwg25
emsl:500103	nmdc:omprc-11-836dmx86
emsl:500834	nmdc:omprc-11-g25rmz56
emsl:500090	nmdc:omprc-11-k7t9bm80
emsl:500097	nmdc:omprc-11-jqagcb47
emsl:500167	nmdc:omprc-11-1bjejy90
emsl:500100	nmdc:omprc-11-2sq6vr79
emsl:501138	nmdc:omprc-11-twtt6c16
emsl:500093	nmdc:omprc-11-qqg1vp97
emsl:500835	nmdc:omprc-11-4vzexg90
emsl:500161	nmdc:omprc-11-ds97vk18
emsl:500830	nmdc:omprc-11-thd9e273
emsl:500095	nmdc:omprc-11-e1xgw718
emsl:500833	nmdc:omprc-11-at30ha33
emsl:500091	nmdc:omprc-11-1nedx927
emsl:598506	nmdc:omprc-11-aycm3c97
emsl:598508	nmdc:omprc-11-3xtt6n27
emsl:598509	nmdc:omprc-11-fgk9dq91
emsl:598510	nmdc:omprc-11-dszmz034
emsl:598511	nmdc:omprc-11-pj0ghy54
emsl:598512	nmdc:omprc-11-5a865480
emsl:598513	nmdc:omprc-11-wc7dyw14
emsl:598515	nmdc:omprc-11-2b1wmg58
emsl:598516	nmdc:omprc-11-c8pm8v35
emsl:598517	nmdc:omprc-11-f9ztdf75
emsl:598520	nmdc:omprc-11-s2y5zf38
emsl:598846	nmdc:omprc-11-csnppm65
emsl:598847	nmdc:omprc-11-7v242474
emsl:598848	nmdc:omprc-11-qwt6xz03
emsl:598849	nmdc:omprc-11-49c4qr08
emsl:598850	nmdc:omprc-11-0amxbx07
emsl:598851	nmdc:omprc-11-j4svf908
emsl:598852	nmdc:omprc-11-h4mwph38
emsl:598853	nmdc:omprc-11-drch2w78
